State,APC,PDP,LP,NNPP,Geopolitical Zone
Ekiti,201494,89554,11397,264,South West
Kwara,263572,136909,31166,3142,North Central
Osun,343945,354366,23283,713,South West
Ondo,369924,115463,44405,930,South West
Ogun,341554,123831,86,2200,South West
Oyo,449884,182977,99110,4095,South West
Yobe,151459,198567,2406,18270,North East
Enugu,4772,15749,428640,1808,South East
Lagos,572606,75750,582454,8442,South West
Gombe,146977,319123,26160,10520,North East
Adamawa,182881,417611,105648,8006,North East
Katsina,482283,489045,6376,69386,North West
Jigawa,421390,386587,1889,98234,North West
Nasarawa,172922,147093,191361,12715,North Central
Niger,375183,284898,80452,21836,North Central
Benue,310468,130081,308372,4740,North Central
FCT,90902,74194,281717,4517,North Central
Akwa Ibom,160620,214012,132683,7796,South South
Edo,144471,89585,331163,2743,South South
Abia,8914,22676,327095,1239,South East
Kogi,240751,145104,56217,4238,North Central
Bauchi,316694,426607,27373,72103,North East
Plateau,307195,243808,466272,8869,North Central
Bayelsa,42572,68818,49975,540,South South
Kaduna,399293,554360,294494,92969,North West
Kebbi,248088,285175,10682,5038,North West
Kano,517341,131716,28513,997279,North West
Zamfara,298396,193978,1660,4044,North West
Sokoto,285444,288679,6568,1300,North West
Cross River,130520,95425,179917,1644,South South
Delta,90183,161600,341866,3122,South South
Ebonyi,42402,13503,259738,2661,South East
Anambra,5111,9036,584621,1967,South East
Taraba,135165,189017,146315,12818,North East
Borno,252282,190921,7205,4626,North East
Rivers,231591,88468,175071,1322,South South
Imo,66406,30234,360495,1552,South East
